Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
dense_structure,2,5,1,M,4,5.227656847270352,0.5088670784909038,8.288933753967285
dense_structure,2,5,1,N,4,2.8862947097300795,3.6147915012039267,8.288933753967285
dense_structure,2,5,1,O,4,4.5595772899946665,8.750187244303099,8.288933753967285
dense_structure,2,5,1,P,4,1.0584634268019757,2.9373705431860238,8.288933753967285
dense_structure,2,5,1,Q,4,1.1435020258148554,1.084537320468927,8.288933753967285
dense_structure,2,5,1,R,4,1.8721373027398223,0.0006575911264936063,8.288933753967285
dense_structure,2,5,1,S,4,0.9950140578872437,1.606487976525246,8.288933753967285
dense_structure,2,5,1,T,4,1.388690402526272,1.0414045469950575,8.288933753967285
dense_structure,2,5,1,U,4,1.8354664839905055,0.8181540090043088,8.288933753967285
dense_structure,2,5,2,A,4,0.08010517773936901,0.12253837056587932,10.911288499832153
dense_structure,2,5,2,D,4,0.4033652644370378,0.7618743680949344,10.911288499832153
dense_structure,2,5,2,E,4,3.4483245332301227,5.717675827669326,10.911288499832153
dense_structure,2,5,2,F,4,1.1886935821625713,2.295797704982752,10.911288499832153
dense_structure,2,5,2,B,4,0.24774268634460217,0.20209250940244844,10.911288499832153
dense_structure,2,5,2,G,4,0.8298183072705381,2.9690729365174757,10.911288499832153
dense_structure,2,5,2,H,4,1.5748034777877529,2.7898518250223017,10.911288499832153
dense_structure,2,5,2,C,4,0.1442992275040968,0.3967071232026439,10.911288499832153
dense_structure,2,5,2,I,4,0.0004680046215528519,0.0002636746102597648,10.911288499832153
dense_structure,2,5,2,J,4,1.090723901457489,3.364937698354662,10.911288499832153
dense_structure,2,5,2,K,4,0.4468966241299189,0.8611488511244387,10.911288499832153
dense_structure,2,5,2,L,4,1.2712806919556416,2.582432739723254,10.911288499832153
dense_structure,2,5,2,M,4,1.510508895940048,0.09794762466998695,10.911288499832153
dense_structure,2,5,2,N,4,0.32581855465350373,0.1968556831879675,10.911288499832153
dense_structure,2,5,2,O,4,0.8843856096308007,0.9533784070150134,10.911288499832153
dense_structure,2,5,2,P,4,0.21774931643571274,1.2837236472611695,10.911288499832153
dense_structure,2,5,2,Q,4,2.002039516212527,3.799023711604026,10.911288499832153
dense_structure,2,5,2,R,4,0.3310484276052997,0.21746072903782937,10.911288499832153
dense_structure,2,5,2,S,4,1.3509040915443111,1.697089486565282,10.911288499832153
dense_structure,2,5,2,T,4,1.2537582167609331,0.19518812484113574,10.911288499832153
dense_structure,2,5,2,U,4,1.315405104695585,0.11016693827253635,10.911288499832153
dense_structure,2,5,1,A,5,0.057130148710513584,0.011405696722377498,8.141144275665283
dense_structure,2,5,1,D,5,2.964010851611402,6.41232532809498,8.141144275665283
dense_structure,2,5,1,E,5,0.9219681159897741,2.682740138679242,8.141144275665283
dense_structure,2,5,1,F,5,0.6947594355727752,1.6518313348808238,8.141144275665283
dense_structure,2,5,1,B,5,0.18594454824965573,0.544101300835441,8.141144275665283
dense_structure,2,5,1,G,5,0.3382224241309772,0.8529551136730269,8.141144275665283
dense_structure,2,5,1,H,5,0.0006962508391064638,0.040992641037732556,8.141144275665283
dense_structure,2,5,1,C,5,0.11893972068405387,0.3967071232026439,8.141144275665283
dense_structure,2,5,1,I,5,0.009371791901492899,0.06437714524267216,8.141144275665283
dense_structure,2,5,1,J,5,0.47086738159384467,0.7755054734342154,8.141144275665283
dense_structure,2,5,1,K,5,3.672539572887236,2.804195993699242,8.141144275665283
dense_structure,2,5,1,L,5,0.2594883774556553,0.9747111166889957,8.141144275665283
dense_structure,2,5,1,M,5,0.14935928891696199,0.3366748567634724,8.141144275665283
dense_structure,2,5,1,N,5,1.4279257944247035,3.1664607105175855,8.141144275665283
dense_structure,2,5,1,O,5,0.27416746797713076,0.19709565527129755,8.141144275665283
dense_structure,2,5,1,P,5,0.7510347818079979,3.354572873718103,8.141144275665283
dense_structure,2,5,1,Q,5,1.8385142715660483,0.052755006859964634,8.141144275665283
dense_structure,2,5,1,R,5,0.37421497176193463,1.0863942910202915,8.141144275665283
dense_structure,2,5,1,S,5,2.1016713393893447,2.6706691882659923,8.141144275665283
dense_structure,2,5,1,T,5,2.212126931608639,1.8785319359758097,8.141144275665283
dense_structure,2,5,1,U,5,1.861939106160069,3.8181556931205165,8.141144275665283
dense_structure,2,5,2,A,5,0.09004524885215723,0.12253837056587932,10.379428148269653
dense_structure,2,5,2,D,5,3.0708341900977203,7.77854321957415,10.379428148269653
dense_structure,2,5,2,E,5,1.044217420171375,2.682740138679242,10.379428148269653
dense_structure,2,5,2,F,5,0.7057918281088648,1.6518313348808238,10.379428148269653
dense_structure,2,5,2,B,5,0.22679085632126011,0.544101300835441,10.379428148269653
dense_structure,2,5,2,G,5,0.5341454997017381,0.8529551136730269,10.379428148269653
dense_structure,2,5,2,H,5,0.0042847460677436855,0.040992641037732556,10.379428148269653
dense_structure,2,5,2,C,5,0.11125009293451646,0.3967071232026439,10.379428148269653
dense_structure,2,5,2,I,5,1.764216669366132,3.084634598333076,10.379428148269653
dense_structure,2,5,2,J,5,1.0855866608549947,1.0064741712185465,10.379428148269653
dense_structure,2,5,2,K,5,2.1185090682083474,4.725829277396197,10.379428148269653
dense_structure,2,5,2,L,5,2.4973905638940943,4.597062256845029,10.379428148269653
